0 1 2 6 11 15 18 17 16 12 7 3 4 5 10 14 13 8 9
1 2 6 11 15 18 17 16 12 7 3 0 4 5 10 14 13 8 9
2 6 11 15 18 17 16 12 7 3 0 1 5 10 14 13 8 4 9
3 0 1 2 6 11 15 18 17 16 12 7 8 4 5 10 14 13 9
6 11 15 18 17 16 12 7 3 0 1 2 5 10 14 13 8 4 9
7 3 0 1 2 6 11 15 18 17 16 12 8 4 5 10 14 13 9
11 15 18 17 16 12 7 3 0 1 2 6 10 14 13 8 4 5 9
12 7 3 0 1 2 6 11 15 18 17 16 13 8 4 5 10 14 9
15 18 17 16 12 7 3 0 1 2 6 11 10 14 13 8 4 5 9
16 12 7 3 0 1 2 6 11 15 18 17 13 8 4 5 10 14 9
17 16 12 7 3 0 1 2 6 11 15 18 14 13 8 4 5 10 9
18 17 16 12 7 3 0 1 2 6 11 15 14 13 8 4 5 10 9

0 3 7 12 16 17 18 15 11 6 2 1 4 8 13 14 10 5 9
1 0 3 7 12 16 17 18 15 11 6 2 5 4 8 13 14 10 9
2 1 0 3 7 12 16 17 18 15 11 6 5 4 8 13 14 10 9
3 7 12 16 17 18 15 11 6 2 1 0 4 8 13 14 10 5 9
6 2 1 0 3 7 12 16 17 18 15 11 10 5 4 8 13 14 9
7 12 16 17 18 15 11 6 2 1 0 3 8 13 14 10 5 4 9
11 6 2 1 0 3 7 12 16 17 18 15 10 5 4 8 13 14 9
12 16 17 18 15 11 6 2 1 0 3 7 8 13 14 10 5 4 9
15 11 6 2 1 0 3 7 12 16 17 18 14 10 5 4 8 13 9
16 17 18 15 11 6 2 1 0 3 7 12 13 14 10 5 4 8 9
17 18 15 11 6 2 1 0 3 7 12 16 13 14 10 5 4 8 9
18 15 11 6 2 1 0 3 7 12 16 17 14 10 5 4 8 13 9
